,artists
1210,Kenny Rogers
1211,Connor Price
1212,Queens of the Stone Age
1213,Tz da Coronel
1214,Laura Pausini
1215,Guaynaa
1216,Marc SeguÃ­
1217,HAIM
1218,Wall Hein
1219,Natasha Bedingfield
1220,Joan Jett & the Blackhearts
1221,Lainey Wilson
1222,Vintage Culture
1223,Julian Perretta
1224,RÃ­o Roma
1225,Pamungkas
1226,Jelly Roll
1227,Mother Mother
1228,Ilaiyaraaja
1229,Alice In Chains
1230,Trey Songz
1231,Rich Brian
1232,Neil Diamond
1233,Lil Mosey
1234,The Paper Kites
1235,Rod Wave
1236,BoyWithUke
1237,Pepe Aguilar
1238,MIKA
1239,Hiphop Tamizha
1240,Cristian Castro
1241,Raim Laode
1242,AlemÃ¡n
1243,The Temper Trap
1244,Genesis
1245,MF DOOM
1246,Soolking
1247,Ella Mai
1248,Jon Z
1249,Carlos Baute
1250,The Wanted
1251,Rise Against
1252,Jaideep Sahni
1253,Dennis Lloyd
1254,Alisha Chinai
1255,Kevin Kaarl
1256,Iyaz
1257,Ricardo Montaner
1258,La Arrolladora Banda El LimÃ³n De Rene Camacho
1259,Chris Jedi
1260,MÃ
1261,Franz Ferdinand
1262,Leo Santana
1263,Mc IG
1264,Melody
1265,Neon Trees
1266,Kishore Kumar
1267,Manuel Medrano
1268,RocÃ­o DÃºrcal
1269,Roy Orbison
1270,Young the Giant
1271,Franco De Vita
1272,Trinix
1273,Sleeping At Last
1274,Tinashe
1275,Incubus
1276,Beck
1277,Chuck Berry
1278,Ludovico Einaudi
1279,Johann Sebastian Bach
1280,Feby Putri
1281,ZoÃ©
1282,MatuÃª
1283,Nakash Aziz
1284,Hindia
1285,Gazo
1286,Kanii
1287,JENNIE
1288,Kenshi Yonezu
1289,Ikky
1290,BONES
1291,Edward Maya
1292,Sofi Tukker
1293,KAYTRANADA
1294,Fitz and The Tantrums
1295,Fivio Foreign
1296,Lil Jon
1297,SEVENTEEN
1298,Jarabe De Palo
1299,Simple Plan
1300,Omah Lay
1301,Whethan
1302,Gracie Abrams
1303,DVRST
1304,*NSYNC
1305,Los Dos Carnales
1306,Leona Lewis
1307,Shashaa Tirupati
1308,The Kooks
1309,PEDRO SAMPAIO
1310,Cole Swindell
1311,Filipe Ret
1312,Stebin Ben
1313,Omar Montes
1314,Alanis Morissette
1315,AndrÃ©s Calamaro
1316,Dhanush
1317,Social House
1318,BM
1319,Chelsea Cutler
1320,Father John Misty
1321,Tochi Raina
1322,The All-American Rejects
1323,Ankit Tiwari
1324,Arunraja Kamaraj
1325,Alex Rose
1326,Fatboy Slim
1327,Banda El Recodo
1328,Rick Astley
1329,Pol Granch
1330,Luciano
1331,Irene Cara
1332,Gulzar
1333,Ivan Cornejo
1334,Gloria Gaynor
1335,The Kinks
